127
16	71	7
122	7	5
116	117	0
56	2	1
83	17	1
113	15	4
144	69	6
38	17	2
47	40	6
129	28	6
39	40	2
48	28	6
107	108	0
98	17	1
34	17	6
65	36	1
94	104	5
37	17	6
137	138	0
111	112	3
86	87	0
109	98	2
132	40	1
121	111	5
33	9	4
25	85	6
52	53	5
58	40	1
54	28	6
55	5	2
80	119	9
91	119	9
84	36	1
14	15	4
79	80	3
64	15	4
141	15	4
124	4	7
103	28	6
60	28	6
94	95	5
27	28	6
57	58	1
123	28	6
48	5	2
95	104	3
74	23	6
60	61	2
6	7	3
44	28	1
102	28	1
37	16	8
74	41	2
66	13	4
124	5	6
93	9	4
4	28	6
48	4	8
24	17	6
38	71	8
35	36	6
31	32	5
24	17	2
8	9	4
42	41	1
20	23	2
134	135	10
85	17	1
23	51	1
3	67	0
118	17	1
69	96	0
62	63	5
139	69	1
145	36	1
114	36	1
63	88	3
79	119	9
41	3	1
128	58	1
59	26	2
18	19	0
49	50	6
82	4	8
10	126	5
43	2	1
76	77	3
106	17	2
99	15	4
123	61	2
114	115	0
100	101	8
49	23	2
140	89	6
101	127	0
16	28	2
46	28	2
30	23	2
76	119	9
37	69	2
0	36	1
97	40	1
74	30	7
82	28	6
91	92	3
26	51	1
133	17	6
46	28	6
59	40	6
70	71	8
105	28	6
12	13	4
30	41	6
120	28	6
74	142	10
103	36	2
89	40	1
31	110	5
44	130	1
16	17	6
36	41	1
15	9	1
5	17	1
82	5	2
4	5	2
106	17	6
125	41	1
